.	.	PONCT	_
-	-	PONCT	_
ah	ah	I	_
!	!	PONCT	_
Mère	Mère	NP	_
Ubu	Ubu	NP	_
,	,	PONCT	_
vous	vous	CLS	_
me	je	CLO	_
faites	faire	V	_
injure	injure	NC	_
et	et	CC	_
vous	vous	CLS	_
allez	aller	V	_
passer	passer	VINF	_
tout	tout	ADV	_
à	à	P	_
l'	le	DET	_
heure	heure	NC	_
par	par	P	_
la	le	DET	_
casserole	casserole	NC	_
.	.	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
eh	eh	I	_
!	!	PONCT	_
Pauvre	pauvre	ADJ	_
malheureux	malheureux	ADJ	_
,	,	PONCT	_
si	si	CS	_
je	je	CLS	_
passais	passer	V	_
par	par	P	_
la	le	DET	_
casserole	casserole	NC	_
,	,	PONCT	_
qui	qui	PROREL	_
te	tu	CLO	_
raccommoderait	raccommoder	V	_
tes	ton	DET	_
fonds	fond	NC	_
de	de	P	_
culotte	culotte	NC	_
?	?	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
eh	eh	I	_
vraiment	vraiment	ADV	_
!	!	PONCT	_
Et	et	CC	_
puis	puis	ADV	_
après	après	ADV	_
?	?	PONCT	_
N'	ne	ADV	_
ai	avoir	V	_
-je	je	CLS	_
pas	pas	ADV	_
un	un	DET	_
cul	cul	NC	_
comme	comme	P	_
les	le	DET	_
autres	autre	NC	_
?	?	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
à	à	P	_
ta	ton	DET	_
place	place	NC	_
,	,	PONCT	_
ce	ce	DET	_
cul	cul	NC	_
,	,	PONCT	_
je	je	CLS	_
voudrais	vouloir	V	_
l'	il	CLO	_
installer	installer	VINF	_
sur	sur	P	_
un	un	DET	_
trône	trône	NC	_
.	.	PONCT	_
Tu	tu	CLS	_
pourrais	pouvoir	V	_
augmenter	augmenter	VINF	_
indéfiniment	indéfiniment	ADV	_
tes	ton	DET	_
richesses	richesse	NC	_
,	,	PONCT	_
manger	manger	VINF	_
fort	fort	ADV	_
souvent	souvent	ADV	_
de	de	P	_
l'	le	DET	_
andouille	andouille	NC	_
et	et	CC	_
rouler	rouler	VINF	_
carrosse	carrosse	NC	_
par	par	P	_
les	le	DET	_
rues	rue	NC	_
.	.	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
si	si	CS	_
j'	je	CLS	_
étais	être	V	_
roi	roi	NC	_
,	,	PONCT	_
je	je	CLS	_
me	je	CLO	_
ferais	faire	V	_
construire	construire	VINF	_
une	un	DET	_
grande	grand	ADJ	_
capeline	capeline	NC	_
comme	comme	P	_
celle	celui	PRO	_
que	que	PROREL	_
j'	je	CLS	_
avais	avoir	V	_
en	en	P	_
Aragon	Aragon	NP	_
et	et	CC	_
que	que	CS	_
ces	ce	DET	_
gredins	gredin	NC	_
d'	de	P	_
espagnols	espagnol	NC	_
m'	je	CLO	_
ont	avoir	V	_
impudemment	impudemment	ADV	_
volée	voler	VPP	_
.	.	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
tu	tu	CLS	_
pourrais	pouvoir	V	_
aussi	aussi	ADV	_
te	tu	CLO	_
procurer	procurer	VINF	_
un	un	DET	_
parapluie	parapluie	NC	_
et	et	CC	_
un	un	DET	_
grand	grand	ADJ	_
caban	caban	NC	_
qui	qui	PROREL	_
te	tu	CLO	_
tomberait	tomber	V	_
sur	sur	P	_
les	le	DET	_
talons	talon	NC	_
.	.	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
ah	ah	I	_
!	!	PONCT	_
Je	je	CLS	_
cède	céder	V	_
à	à	P	_
la	le	DET	_
tentation	tentation	NC	_
.	.	PONCT	_
Bougre	bougre	I	_
de	de	P	_
merdre	merdre	NP	_
,	,	PONCT	_
merdre	merdre	NC	_
de	de	P	_
bougre	bougre	NC	_
,	,	PONCT	_
si	si	CS	_
jamais	jamais	ADV	_
je	je	CLS	_
le	il	CLO	_
rencontre	rencontrer	V	_
au	à_le	P+D	_
coin	coin	NC	_
d'	de	P	_
un	un	DET	_
bois	bois	NC	_
,	,	PONCT	_
il	il	CLS	_
passera	passer	V	_
un	un	DET	_
mauvais	mauvais	ADJ	_
quart	quart	NC	_
d'	de	P	_
heure	heure	NC	_
.	.	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
ah	ah	I	_
!	!	PONCT	_
Bien	bien	ADV	_
,	,	PONCT	_
père	père	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
te	tu	CLO	_
voilà	voilà	V	_
devenu	devenir	VPP	_
un	un	DET	_
véritable	véritable	ADJ	_
homme	homme	NC	_
.	.	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
oh	oh	I	_
non	non	I	_
!	!	PONCT	_
Moi	je	PRO	_
capitaine	capitaine	NC	_
de	de	P	_
dragons	dragon	NC	_
,	,	PONCT	_
massacrer	massacrer	VINF	_
le	le	DET	_
roi	roi	NC	_
de	de	P	_
Pologne	Pologne	NP	_
!	!	PONCT	_
Plutôt	plutôt	ADV	_
mourir	mourir	VINF	_
!	!	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
à	à	P	_
part	part	NC	_
-	-	PONCT	_
oh	oh	I	_
!	!	PONCT	_
Merdre	Merdre	NC	_
!	!	PONCT	_
(	(	PONCT	_
haut	haut	ADV	_
.	.	PONCT	_
)	)	PONCT	_
ainsi	ainsi	ADV	_
,	,	PONCT	_
tu	tu	CLS	_
vas	aller	V	_
rester	rester	VINF	_
gueux	gueux	ADJ	_
comme	comme	P	_
un	un	DET	_
rat	rat	NC	_
,	,	PONCT	_
père	père	NC	_
Ubu	Ubu	NP	_
?	?	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
ventrebleu	ventrebleu	I	_
,	,	PONCT	_
de	de	P	_
par	par	P	_
ma	mon	DET	_
chandelle	chandelle	NC	_
verte	vert	ADJ	_
,	,	PONCT	_
j'	je	CLS	_
aime	aimer	V	_
mieux	mieux	ADV	_
être	être	VINF	_
gueux	gueux	ADJ	_
comme	comme	P	_
un	un	DET	_
maigre	maigre	NC	_
et	et	CC	_
brave	brave	ADJ	_
rat	rat	NC	_
que	que	PROREL	_
riche	riche	ADJ	_
comme	comme	P	_
un	un	DET	_
méchant	méchant	NC	_
et	et	CC	_
gras	gras	ADJ	_
chat	chat	NC	_
.	.	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
et	et	CC	_
la	le	DET	_
capeline	capeline	NC	_
?	?	PONCT	_
Et	et	CC	_
le	le	DET	_
parapluie	parapluie	NC	_
?	?	PONCT	_
Et	et	CC	_
le	le	DET	_
grand	grand	ADJ	_
caban	caban	NC	_
?	?	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
eh_bien	eh_bien	I	_
,	,	PONCT	_
après	après	ADV	_
,	,	PONCT	_
mère	mère	NC	_
Ubu	Ubu	NP	_
?	?	PONCT	_
(	(	PONCT	_
il	il	CLS	_
s'	se	CLO	_
en	en	CLO	_
va	aller	V	_
en	en	P	_
claquant	claquer	VPR	_
la	le	DET	_
porte	porte	NC	_
.	.	PONCT	_
)	)	PONCT	_
ère	ère	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
seule	seul	ADJ	_
.	.	PONCT	_
-	-	PONCT	_
vrout	vrout	NP	_
,	,	PONCT	_
merdre	merdre	NC	_
,	,	PONCT	_
il	il	CLS	_
a	avoir	V	_
été	être	VPP	_
dur	dur	ADV	_
à	à	P	_
la	le	DET	_
détente	détente	NC	_
,	,	PONCT	_
mais	mais	CC	_
vrout	vrout	NP	_
,	,	PONCT	_
merdre	merdre	NC	_
,	,	PONCT	_
je	je	CLS	_
crois	croire	V	_
pourtant	pourtant	ADV	_
l'	il	CLO	_
avoir	avoir	VINF	_
ébranlé	ébranler	VPP	_
.	.	PONCT	_
Grâce	grâce	NC	_
à	à	P	_
Dieu	Dieu	NP	_
et	et	CC	_
à	à	P	_
moi	je	PRO	_
-même	même	ADJ	_
,	,	PONCT	_
peut-être	peut-être	ADV	_
dans	dans	P	_
huit	huit	DET	_
jours	jour	NC	_
serai	être	V	_
-je	je	CLS	_
reine	reine	NC	_
de	de	P	_
Pologne	Pologne	NP	_
.	.	PONCT	_
ACTE	acte	NC	_
I	I	ADJ	_
,	,	PONCT	_
SCèNE	SCèNE	NC	_
II	II	ADJ	_
la	le	DET	_
scène	scène	NC	_
représente	représenter	V	_
une	un	DET	_
chambre	chambre	NC	_
de	de	P	_
la	le	DET	_
maison	maison	NC	_
du	de_le	P+D	_
père	père	NC	_
Ubu	Ubu	NP	_
où	où	PROREL	_
une	un	DET	_
table	table	NC	_
splendide	splendide	ADJ	_
est	être	V	_
dressée	dresser	VPP	_
.	.	PONCT	_
père	père	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
mère	mère	NC	_
Ubu	Ubu	NP	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
eh	eh	I	_
!	!	PONCT	_
Nos	notre	DET	_
invités	invité	NC	_
sont	être	V	_
bien	bien	ADV	_
en	en	P	_
retard	retard	NC	_
.	.	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
oui	oui	I	_
,	,	PONCT	_
de	de	P	_
par	par	P	_
ma	mon	DET	_
chandelle	chandelle	NC	_
verte	vert	ADJ	_
.	.	PONCT	_
Je	je	CLS	_
crève	crever	V	_
de	de	P	_
faim	faim	NC	_
.	.	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
tu	tu	CLS	_
es	être	V	_
bien	bien	ADV	_
laide	laid	ADJ	_
aujourd'hui	aujourd'hui	ADV	_
.	.	PONCT	_
Est	être	V	_
-ce	ce	CLS	_
parce_que	parce_que	CS	_
nous	nous	CLS	_
avons	avoir	V	_
du	de_le	P+D	_
monde	monde	NC	_
?	?	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
haussant	hausser	VPR	_
les	le	DET	_
épaules	épaule	NC	_
.	.	PONCT	_
-	-	PONCT	_
merdre	merdre	I	_
!	!	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
saisissant	saisir	VPR	_
un	un	DET	_
poulet	poulet	NC	_
rôti	rôti	ADJ	_
.	.	PONCT	_
-	-	PONCT	_
tiens	tenir	V	_
,	,	PONCT	_
j'	je	CLS	_
ai	avoir	V	_
faim	faim	NC	_
,	,	PONCT	_
je	je	CLS	_
vais	aller	V	_
mordre	mordre	VINF	_
dans	dans	P	_
cet	ce	DET	_
oiseau	oiseau	NC	_
.	.	PONCT	_
C'	ce	CLS	_
est	être	V	_
un	un	DET	_
poulet	poulet	NC	_
,	,	PONCT	_
je	je	CLS	_
crois	croire	V	_
.	.	PONCT	_
Il	il	CLS	_
n'	ne	ADV	_
est	être	V	_
pas	pas	ADV	_
mauvais	mauvais	ADJ	_
.	.	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
que	que	PROWH	_
fais	faire	V	_
-tu	tu	CLS	_
,	,	PONCT	_
malheureux	malheureux	ADJ	_
?	?	PONCT	_
Que	que	PROWH	_
mangeront	manger	V	_
nos	notre	DET	_
invités	invité	NC	_
?	?	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
ils	il	CLS	_
en	en	CLO	_
auront	avoir	V	_
encore	encore	ADV	_
bien	bien	ADV	_
assez	assez	ADV	_
.	.	PONCT	_
Je	je	CLS	_
ne	ne	ADV	_
toucherai	toucher	V	_
plus	plus	ADV	_
à	à	P	_
rien	rien	PRO	_
.	.	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
va	aller	V	_
donc	donc	ADV	_
voir	voir	VINF	_
à	à	P	_
la	le	DET	_
fenêtre	fenêtre	NC	_
si	si	CS	_
nos	notre	DET	_
invités	invité	NC	_
arrivent	arriver	V	_
.	.	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
y	y	CLO	_
allant	aller	VPR	_
.	.	PONCT	_
-	-	PONCT	_
je	je	CLS	_
ne	ne	ADV	_
vois	voir	V	_
rien	rien	PRO	_
.	.	PONCT	_
(	(	PONCT	_
pendant	pendant	P	_
ce	ce	DET	_
temps	temps	NC	_
,	,	PONCT	_
le	le	DET	_
père	père	NC	_
Ubu	Ubu	NP	_
dérobe	dérober	V	_
une	un	DET	_
rouelle	rouelle	NC	_
de	de	P	_
veau	veau	NC	_
.	.	PONCT	_
)	)	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
ah	ah	I	_
!	!	PONCT	_
Voilà	voilà	V	_
le	le	DET	_
capitaine	capitaine	NC	_
Bordure	Bordure	NP	_
et	et	CC	_
ses	son	DET	_
partisans	partisan	NC	_
qui	qui	PROREL	_
arrivent	arriver	V	_
.	.	PONCT	_
Que	que	PROWH	_
manges	manger	V	_
-tu	tu	CLS	_
donc	donc	ADV	_
,	,	PONCT	_
père	père	NC	_
Ubu	Ubu	NP	_
?	?	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
rien	rien	PRO	_
,	,	PONCT	_
un	un	DET	_
peu	peu	NC	_
de	de	P	_
veau	veau	NC	_
.	.	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
ah	ah	I	_
!	!	PONCT	_
Le	le	DET	_
veau	veau	NC	_
!	!	PONCT	_
Le	le	DET	_
veau	veau	NC	_
!	!	PONCT	_
Le	le	DET	_
veau	veau	NC	_
!	!	PONCT	_
Il	il	CLS	_
a	avoir	V	_
mangé	manger	VPP	_
le	le	DET	_
veau	veau	NC	_
!	!	PONCT	_
Au	à_le	P+D	_
secours	secours	NC	_
!	!	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
de	de	P	_
par	par	P	_
ma	mon	DET	_
chandelle	chandelle	NC	_
verte	vert	ADJ	_
,	,	PONCT	_
je	je	CLS	_
te	tu	CLO	_
vais	aller	V	_
arracher	arracher	VINF	_
les	le	DET	_
yeux	œil	NC	_
.	.	PONCT	_
(	(	PONCT	_
la	le	DET	_
porte	porte	NC	_
s'	se	CLO	_
ouvre	ouvrir	V	_
.	.	PONCT	_
)	)	PONCT	_
ACTE	acte	NC	_
I	I	ADJ	_
,	,	PONCT	_
SCèNE	SCèNE	NC	_
III	III	ADJ	_
père	père	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
mère	mère	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
capitaine	capitaine	NC	_
Bordure	Bordure	NP	_
et	et	CC	_
ses	son	DET	_
partisans	partisan	NC	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
bonjour	bonjour	I	_
,	,	PONCT	_
messieurs	messieurs	NC	_
,	,	PONCT	_
nous	nous	CLS	_
vous	vous	CLO	_
attendons	attendre	V	_
avec	avec	P	_
impatience	impatience	NC	_
.	.	PONCT	_
Asseyez	asseoir	V	_
-vous	vous	CLO	_
.	.	PONCT	_
Capitaine	capitaine	NC	_
Bordure	Bordure	NP	_
.	.	PONCT	_
-	-	PONCT	_
bonjour	bonjour	I	_
,	,	PONCT	_
madame	madame	NC	_
.	.	PONCT	_
Mais	mais	CC	_
où	où	PROWH	_
est	être	V	_
donc	donc	ADV	_
le	le	DET	_
père	père	NC	_
Ubu	Ubu	NP	_
?	?	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
me	je	CLO	_
voilà	voilà	V	_
!	!	PONCT	_
Me	je	CLO	_
voilà	voilà	V	_
!	!	PONCT	_
Sapristi	sapristi	I	_
,	,	PONCT	_
de	de	P	_
par	par	P	_
ma	mon	DET	_
chandelle	chandelle	NC	_
verte	vert	ADJ	_
,	,	PONCT	_
je	je	CLS	_
suis	être	V	_
pourtant	pourtant	ADV	_
assez	assez	ADV	_
gros	gros	ADJ	_
.	.	PONCT	_
Capitaine	capitaine	NC	_
Bordure	Bordure	NP	_
.	.	PONCT	_
-	-	PONCT	_
bonjour	bonjour	I	_
,	,	PONCT	_
père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
Asseyez	asseoir	V	_
-vous	vous	CLO	_
,	,	PONCT	_
mes	mon	DET	_
hommes	homme	NC	_
.	.	PONCT	_
(	(	PONCT	_
ils	il	CLS	_
s'	se	CLO	_
asseyent	asseoir	V	_
tous	tous	PRO	_
.	.	PONCT	_
)	)	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
ouf	ouf	I	_
,	,	PONCT	_
un	un	DET	_
peu	peu	NC	_
plus	plus	ADV	_
,	,	PONCT	_
j'	je	CLS	_
enfonçais	enfoncer	V	_
ma	mon	DET	_
chaise	chaise	NC	_
.	.	PONCT	_
Capitaine	capitaine	NC	_
Bordure	Bordure	NP	_
.	.	PONCT	_
-	-	PONCT	_
eh	eh	I	_
!	!	PONCT	_
Mère	Mère	NP	_
Ubu	Ubu	NP	_
!	!	PONCT	_
Que	que	CS	_
nous	nous	CLS	_
donnez	donner	V	_
-vous	vous	CLS	_
de	de	P	_
bon	bon	ADJ	_
aujourd'hui	aujourd'hui	ADV	_
?	?	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
voici	voici	V	_
le	le	DET	_
menu	menu	NC	_
.	.	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
oh	oh	I	_
!	!	PONCT	_
Ceci	ceci	PRO	_
m'	je	CLO	_
intéresse	intéresser	V	_
.	.	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
soupe	soupe	NC	_
polonaise	polonais	ADJ	_
,	,	PONCT	_
côtes	côte	NC	_
de	de	P	_
rastron	rastron	NP	_
,	,	PONCT	_
veau	veau	NC	_
,	,	PONCT	_
poulet	poulet	NC	_
,	,	PONCT	_
pâté	pâté	NC	_
de	de	P	_
chien	chien	NC	_
,	,	PONCT	_
croupions	croupion	NC	_
de	de	P	_
dinde	dinde	NC	_
,	,	PONCT	_
charlotte	charlotte	NC	_
russe	russe	ADJ	_
...	…	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
eh	eh	I	_
!	!	PONCT	_
En	en	CLO	_
voilà	voilà	V	_
assez	assez	ADV	_
,	,	PONCT	_
je	je	CLS	_
suppose	supposer	V	_
.	.	PONCT	_
Y	y	CLO	_
en	en	CLO	_
a	avoir	V	_
-t-il	il	CLS	_
encore	encore	ADV	_
?	?	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
continuant	continuer	VPR	_
.	.	PONCT	_
-	-	PONCT	_
bombe	bombe	NC	_
,	,	PONCT	_
salade	salade	NC	_
,	,	PONCT	_
fruits	fruit	NC	_
,	,	PONCT	_
dessert	dessert	NC	_
,	,	PONCT	_
bouilli	bouillir	VPP	_
,	,	PONCT	_
topinambours	topinambour	NC	_
,	,	PONCT	_
choux-fleurs	chou-fleur	NC	_
à	à	P	_
la	le	DET	_
merdre	merdre	NC	_
.	.	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
eh	eh	I	_
!	!	PONCT	_
Me	je	CLO	_
crois	croire	V	_
-tu	tu	CLS	_
empereur	empereur	NC	_
d'	de	P	_
Orient	Orient	NC	_
pour	pour	P	_
faire	faire	VINF	_
de	un	DET	_
telles	tel	ADJ	_
dépenses	dépense	NC	_
?	?	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
ne	ne	ADV	_
l'	il	CLO	_
écoutez	écouter	V	_
pas	pas	ADV	_
,	,	PONCT	_
il	il	CLS	_
est	être	V	_
imbécile	imbécile	ADJ	_
.	.	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
ah	ah	I	_
!	!	PONCT	_
Je	je	CLS	_
vais	aller	V	_
aiguiser	aiguiser	VINF	_
mes	mon	DET	_
dents	dent	NC	_
contre	contre	P	_
vos	votre	DET	_
mollets	mollet	NC	_
.	.	PONCT	_
